SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
天津普林,2018-01-01,天津普林电路股份有限公司,1.297,1.5396,002134,115.295,2018-12-31,-9.717,0.643,-15.655,1.866,-0.24103,392363890.71,4.67,-7.696,-59259233.85,1.177,52.699,3.544,35.371,-9.08,1.537
天津普林,2019-01-01,天津普林电路股份有限公司,1.371,1.5935,002134,126.511,2019-12-31,2.171,0.717,3.235,2.3,0.051542,418242590.19,5.346,-0.643,12671292.25,1.409,48.813,3.434,32.676,6.596,1.756
实益达,2018-01-01,深圳市麦达数字股份有限公司,0.957,2.3477,002137,128.563,2018-12-31,-19.164,0.541,-26.97,11.246,-0.633187,1035533828.46,13.796,-20.547,-364528537.35,3.329,35.344,4.131,17.261,10.638,3.56
实益达,2019-01-01,深圳市麦达数字股份有限公司,0.767,2.4719,002137,277.821,2019-12-31,4.949,0.434,6.098,11.148,0.15074,763029246.12,8.671,7.645,94632993.92,2.897,38.475,3.387,18.947,-26.315,3.136
顺络电子,2018-01-01,深圳顺络电子股份有限公司,1.27,5.2932,002138,198.581,2018-12-31,9.566,0.472,11.134,1.004,0.589363,2362042839.62,3.681,9.836,482969956.99,2.052,63.902,3.099,16.797,18.841,2.671
顺络电子,2019-01-01,深圳顺络电子股份有限公司,1.258,5.4789,002138,99.226,2019-12-31,6.961,0.467,9.093,1.018,0.498178,2693227392.47,3.534,20.374,405755635.2,1.195,31.309,3.036,28.476,14.021,1.565
北斗星通,2018-01-01,北京北斗星通导航技术股份有限公司,0.895,7.8637,002151,169.338,2018-12-31,1.612,0.461,2.644,4.996,0.207918,3051035392.65,3.882,-2.034,131459253.8,1.758,92.201,2.932,35.099,38.415,2.103
北斗星通,2019-01-01,北京北斗星通导航技术股份有限公司,0.891,6.6107,002151,119.714,2019-12-31,-10.262,0.471,-20.108,4.938,-1.329258,2987002576.45,3.179,-6.211,-759386038.82,1.256,52.117,2.913,41.453,-2.099,1.668
通富微电,2018-01-01,通富微电子股份有限公司,1.565,5.3171,002156,61.757,2018-12-31,0.972,0.553,2.069,1.178,0.110028,7222862993.75,5.269,15.0,153031426.43,0.684,27.106,4.486,53.448,10.793,0.947
通富微电,2019-01-01,通富微电子股份有限公司,1.523,5.2968,002156,52.965,2019-12-31,0.127,0.549,0.313,1.178,0.016591,8266574620.47,4.427,15.669,37442467.84,0.575,30.674,5.038,59.757,14.45,0.836
远 望 谷,2018-01-01,深圳市远望谷信息技术股份有限公司,0.484,1.8982,002161,81.212,2018-12-31,-8.067,0.197,-12.75,2.653,-0.242013,437891734.33,0.852,-5.272,-195470117.84,0.852,32.3,2.043,34.65,-17.496,1.308
远 望 谷,2019-01-01,深圳市远望谷信息技术股份有限公司,0.458,2.7218,002161,387.972,2019-12-31,31.012,0.262,36.913,4.03,1.004696,628849638.04,1.486,21.991,737117394.2,3.95,72.071,3.034,24.128,43.608,4.389
中航光电,2018-01-01,中航光电科技股份有限公司,0.838,7.6408,002179,156.96,2018-12-31,8.127,0.668,15.746,5.593,1.203075,7816018656.41,3.191,33.467,1006999399.04,1.592,48.469,2.371,50.948,22.858,1.945
中航光电,2019-01-01,中航光电科技股份有限公司,0.793,7.6284,002179,167.519,2019-12-31,7.511,0.642,13.12,5.719,1.000864,9158826503.64,3.072,13.034,1162569223.38,1.701,49.08,2.342,42.284,17.18,2.042
纳思达,2018-01-01,纳思达股份有限公司,2.118,4.812,002180,51.271,2018-12-31,2.654,0.612,18.579,7.098,0.894008,21926472338.76,5.654,1.649,1217988232.22,0.646,28.131,9.601,76.284,2.826,0.863
纳思达,2019-01-01,纳思达股份有限公司,2.066,5.4261,002180,47.163,2019-12-31,2.014,0.63,12.9,7.572,0.699986,23295845261.03,5.309,4.723,865949754.27,0.585,28.024,8.682,74.643,6.245,0.781
华天科技,2018-01-01,天水华天科技股份有限公司,1.555,2.6721,002185,96.352,2018-12-31,3.575,0.653,6.846,1.398,0.182921,7121706261.65,4.652,32.843,429237139.37,1.006,70.066,7.525,48.766,1.595,1.262
华天科技,2019-01-01,天水华天科技股份有限公司,1.558,2.8351,002185,85.365,2019-12-31,2.013,0.569,3.692,1.142,0.104669,8103490628.12,6.144,28.951,292914147.04,0.924,52.44,6.948,38.18,13.786,1.188
中光学,2018-01-01,中光学集团股份有限公司,1.592,3.8852,002189,93.669,2018-12-31,6.75,1.075,17.559,7.509,0.682184,2583509097.04,9.858,17.759,166641089.21,0.989,26.213,3.647,63.596,55.341,1.129
中光学,2019-01-01,中光学集团股份有限公司,1.246,5.166,002189,109.146,2019-12-31,3.404,0.885,7.236,7.388,0.373837,2552362826.97,6.049,21.89,99461805.44,1.238,55.282,3.194,56.14,-1.206,1.557
