SECNAME,STARTDATE,ORGNAME,F029N,F008N,SECCODE,F049N,ENDDATE,F016N,F025N,F014N,F026N,F003N,F089N,F023N,F056N,F101N,F043N,F044N,F022N,F041N,F052N,F042N
瑞丰光电,2019-01-01,深圳市瑞丰光电子股份有限公司,1.142,2.2282,300241,114.488,2019-12-31,-5.556,0.604,-10.585,2.868,-0.235856,1371864162.13,5.721,-11.809,-122998856.06,1.153,34.369,2.89,43.751,-12.173,1.374
星星科技,2018-01-01,浙江星星科技股份有限公司,0.895,1.7238,300256,43.66,2018-12-31,-19.852,0.446,-102.05,1.711,-1.759127,3818837377.29,2.375,-9.156,-1758672144.69,0.463,9.97,2.373,79.574,-32.374,0.738
星星科技,2019-01-01,浙江星星科技股份有限公司,1.332,1.9231,300256,62.652,2019-12-31,1.91,0.695,9.459,2.444,0.181902,6343779354.54,3.445,23.97,162317951.41,0.656,17.417,3.1,66.586,66.118,0.926
中威电子,2018-01-01,杭州中威电子股份有限公司,0.433,3.4066,300270,176.682,2018-12-31,-2.445,0.236,-3.079,1.198,-0.104895,306804111.66,2.239,34.186,-32760039.68,1.909,76.447,0.916,30.808,-24.391,2.163
中威电子,2019-01-01,杭州中威电子股份有限公司,0.274,3.0562,300270,165.299,2019-12-31,-6.224,0.168,-9.452,0.935,-0.288881,235646346.9,1.644,-11.208,-88601894.71,1.846,38.455,0.591,30.03,-23.193,2.197
三盛教育,2018-01-01,三盛智慧教育科技股份有限公司,0.601,9.9241,300282,255.344,2018-12-31,4.125,0.287,4.596,11.26,0.456059,792571899.66,8.47,11.705,117047956.97,3.886,173.062,3.189,14.395,-38.984,4.11
三盛教育,2019-01-01,三盛智慧教育科技股份有限公司,0.397,6.5831,300282,399.172,2019-12-31,0.412,0.233,0.486,8.928,0.031975,681842978.17,6.886,1.197,17912052.35,4.139,315.451,2.3,14.25,-13.971,4.244
利亚德,2018-01-01,利亚德光电股份有限公司,0.863,3.0512,300296,96.227,2018-12-31,9.28,0.565,16.298,8.827,0.497282,7700621496.6,1.303,15.295,1263852001.27,1.002,46.517,3.373,46.746,19.006,1.731
利亚德,2019-01-01,利亚德光电股份有限公司,0.883,3.2974,300296,103.456,2019-12-31,4.697,0.604,8.395,9.463,0.276834,9047469208.3,1.419,5.374,707933905.85,1.097,48.591,3.215,45.326,17.49,1.828
长方集团,2018-01-01,深圳市长方集团股份有限公司,1.01,2.0496,300301,63.219,2018-12-31,-4.298,0.431,-9.687,1.387,-0.19854,1574387710.94,3.177,-8.169,-108232112.74,0.676,19.908,3.26,53.635,-10.056,0.888
长方集团,2019-01-01,深圳市长方集团股份有限公司,1.119,1.5086,300301,69.107,2019-12-31,-12.718,0.479,-36.03,1.582,-0.543543,1617021297.21,3.971,-6.736,-429400031.9,0.71,23.539,2.687,63.402,2.708,0.868
聚飞光电,2018-01-01,深圳市聚飞光电股份有限公司,1.073,1.5111,300303,124.261,2018-12-31,4.865,0.714,8.31,3.428,0.125569,2345024339.67,9.337,-2.005,152908189.3,1.514,23.21,2.831,40.266,14.105,1.67
聚飞光电,2019-01-01,深圳市聚飞光电股份有限公司,1.029,1.725,300303,140.492,2019-12-31,8.361,0.68,13.984,2.721,0.241336,2506856474.33,8.954,26.882,306265789.54,1.435,15.14,2.855,46.345,6.901,1.551
中际旭创,2018-01-01,中际旭创股份有限公司,1.218,10.0461,300308,67.143,2018-12-31,7.843,0.649,13.046,3.879,1.310566,5156314239.9,1.835,3.459,623115980.05,0.711,36.309,5.566,40.887,118.758,1.45
中际旭创,2019-01-01,中际旭创股份有限公司,0.938,9.7037,300308,106.453,2019-12-31,5.53,0.512,7.414,2.761,0.720012,4757677023.35,1.5,29.838,513487200.53,1.234,43.742,4.824,33.98,-7.731,2.12
麦捷科技,2018-01-01,深圳市麦捷微电子科技股份有限公司,0.89,2.8965,300319,116.503,2018-12-31,4.204,0.534,6.54,3.109,0.189425,1671640887.0,2.079,1.462,142258254.28,1.205,41.886,3.108,34.144,15.979,1.921
麦捷科技,2019-01-01,深圳市麦捷微电子科技股份有限公司,1.027,2.9613,300319,92.138,2019-12-31,1.377,0.555,2.19,2.372,0.064682,1817743896.6,2.348,7.563,59234790.44,1.015,25.788,2.807,37.032,8.74,1.558
硕贝德,2018-01-01,惠州硕贝德无线科技股份有限公司,1.541,1.4162,300322,72.145,2018-12-31,3.204,0.884,10.832,2.698,0.153406,1722361995.31,5.656,-10.709,71116717.7,0.743,21.973,4.278,63.84,-16.797,0.961
硕贝德,2019-01-01,惠州硕贝德无线科技股份有限公司,1.633,1.6143,300322,79.516,2019-12-31,5.101,0.961,14.145,3.579,0.228334,1749506400.24,5.714,-1.826,96628056.41,0.852,18.276,4.238,60.987,1.576,1.094
华灿光电,2018-01-01,华灿光电股份有限公司,0.653,5.3781,300323,70.505,2018-12-31,2.139,0.24,4.127,0.561,0.22194,2731588112.04,1.757,30.257,243860272.91,0.802,21.63,2.623,54.186,3.866,1.186
华灿光电,2019-01-01,华灿光电股份有限公司,0.538,4.4033,300323,80.404,2019-12-31,-8.564,0.222,-21.789,0.562,-0.959439,2716330498.82,2.248,-10.285,-1047862427.45,0.909,33.046,2.647,58.442,-0.559,1.124
中颖电子,2018-01-01,中颖电子股份有限公司,0.797,3.7238,300327,117.243,2018-12-31,16.718,0.753,19.561,28.007,0.728416,757710546.74,2.994,5.27,161339499.29,5.241,41.867,7.581,15.842,10.498,6.312
中颖电子,2019-01-01,中颖电子股份有限公司,0.793,3.8047,300327,209.197,2019-12-31,16.971,0.748,19.587,33.352,0.745221,834147157.27,3.315,16.108,181370179.02,4.982,111.097,7.268,17.295,10.088,5.599
